w,0,0,1,1,
w,0,19,1,1,
w,1,0,1,1,
w,1,19,1,1,
w,2,0,1,1,
w,2,19,1,1,
w,3,0,1,1,
w,3,19,1,1,
w,4,0,1,1,
w,4,19,1,1,
w,5,0,1,1,
w,5,19,1,1,
w,6,0,1,1,
w,6,19,1,1,
w,7,0,1,1,
w,7,19,1,1,
w,8,0,1,1,
w,8,19,1,1,
w,9,0,1,1,
w,9,19,1,1,
w,10,0,1,1,
w,10,19,1,1,
w,11,0,1,1,
w,11,19,1,1,
w,12,0,1,1,
w,12,19,1,1,
w,13,0,1,1,
w,13,19,1,1,
p,13,3,1,1,
w,14,0,1,1,
w,14,1,1,1,
w,14,2,1,1,
w,14,4,1,1,
w,14,3,1,1,
w,14,5,1,1,
w,14,6,1,1,
w,14,7,1,1,
w,14,8,1,1,
w,14,9,1,1,
w,14,10,1,1,
w,14,11,1,1,
w,14,12,1,1,
w,14,13,1,1,
w,14,14,1,1,
w,14,15,1,1,
w,14,16,1,1,
w,14,17,1,1,
w,14,18,1,1,
w,14,19,1,1,
w,15,0,1,1,
w,15,19,1,1,
w,16,0,1,1,
w,16,19,1,1,
w,17,0,1,1,
w,17,19,1,1,
w,18,0,1,1,
w,18,19,1,1,
w,19,0,1,1,
w,19,19,1,1,
